BWD   31-53-33.316N 098-57-26.868W
BWG   36-55-43.467N 086-26-36.363W
BWS   32-49-16.518N 106-00-47.351W
BWZ   40-47-54.358N 074-49-18.597W
BXK   33-27-12.442N 112-49-28.530W
BXZ   44-14-33.570N 084-11-00.498W
BYI   42-34-48.875N 113-51-57.074W
BYP   33-32-14.950N 096-14-02.740W
BZA   32-46-05.264N 114-36-10.225W
BZM   35-52-07.874N 081-14-25.904W
BZN   45-47-02.045N 111-09-19.624W
CAE   33-51-26.095N 081-03-14.056W
CAK   40-54-58.605N 081-26-31.412W
CAM   42-59-39.479N 073-20-38.400W
CAP   39-53-31.779N 089-37-31.565W
CBC   10-34-37.000N 066-02-53.000W
CBM   33-38-29.518N 088-26-18.846W
CC    38-02-47.000N 122-02-00.400W
CCC   40-55-46.653N 072-47-55.863W
CCR   38-02-41.712N 122-02-42.768W
CCT   37-22-56.707N 087-15-49.321W
CCV   37-20-51.140N 075-59-51.550W
CDB   55-16-02.557N 162-46-27.260W
CDC   37-47-14.388N 113-04-05.630W
CDO   18-25-59.000N 069-40-02.000W
CDR   42-33-31.577N 103-18-43.727W
CDS   34-22-08.634N 100-17-20.516W
CEC   41-46-46.412N 124-14-27.094W
CEF   42-11-51.133N 072-31-34.714W
CEN   27-24-00.000N 109-50-00.000W
CEW   30-49-34.271N 086-40-44.938W
CEZ   37-23-23.450N 108-33-42.309W
CFB   42-09-26.967N 076-08-11.340W
CGG   44-40-53.825N 084-43-44.204W
CGI   37-13-39.100N 089-34-20.600W
CGL   58-21-33.713N 134-41-57.831W
CGT   41-30-36.019N 087-34-17.557W
CHE   40-31-12.302N 107-18-17.615W
CHS   32-53-39.549N 080-02-16.131W
CIC   39-47-23.378N 121-50-49.922W
CID   41-53-15.115N 091-47-08.544W
CIE   32-02-00.199N 109-45-29.531W
CIM   36-29-29.029N 104-52-19.199W
CIP   41-08-46.526N 079-27-28.762W
CJS   31-38-10.000N 106-25-33.000W
CKB   39-15-11.588N 080-16-04.303W
CKH   21-15-54.404N 157-42-10.733W
CKV   36-37-19.170N 087-24-45.533W
CKW   41-45-20.554N 107-34-55.136W
CKZ   40-23-27.272N 075-17-19.563W
CL    41-20-19.178N 081-57-52.104W
CLB   34-06-22.617N 077-57-40.957W
CLE   41-24-37.377N 081-50-55.690W
CLL   30-36-17.989N 096-25-14.435W
CLT   35-11-25.039N 080-57-06.312W
CMA   34-12-45.017N 119-05-39.673W
CME   33-20-14.923N 104-37-16.484W
CMH   39-59-40.831N 082-53-07.141W
CMI   40-02-04.315N 088-16-33.809W
CMJ   55-20-43.548N 131-41-47.064W
CMK   41-16-48.241N 073-34-52.856W
CMX   47-10-12.940N 088-29-07.390W
CNG   37-00-30.995N 088-50-12.873W
CNM   32-15-23.827N 104-13-33.799W
CNU   37-37-34.077N 095-35-36.433W
CNX   34-22-01.255N 105-40-40.817W
COD   44-37-13.530N 108-57-52.997W
COE   47-46-25.255N 116-49-14.196W
COL   40-18-41.974N 074-09-35.160W
CON   43-13-11.189N 071-34-31.662W
COS   38-48-58.982N 104-41-56.899W
COT   28-27-43.243N 099-07-06.747W
COU   38-48-38.964N 092-13-05.786W
COY   17-44-04.000N 064-42-02.600W
CPN   46-01-55.200N 112-44-51.100W
CQY   32-11-08.600N 096-13-05.170W
CRE   33-48-49.820N 078-43-28.264W
CRG   30-20-19.900N 081-30-35.821W
CRI   40-36-44.900N 073-53-40.000W
CRL   42-02-53.057N 083-27-27.462W
CRO   17-55-53.000N 071-38-58.000W
CRP   27-54-13.557N 097-26-41.573W
CRW   38-22-23.250N 081-35-35.642W
CSG   32-36-54.914N 085-01-03.468W
CSI   29-55-20.400N 099-12-52.200W
CSN   38-38-28.433N 077-51-55.879W
CSX   38-45-09.800N 090-21-39.200W
CTB   48-33-53.736N 112-20-35.678W
CTF   34-39-01.655N 080-16-29.738W
CTR   42-17-28.747N 072-56-57.819W
CTW   40-13-45.151N 081-28-35.316W
CTY   29-35-56.498N 083-02-55.390W
CUL   24-47-00.000N 107-28-00.000W
CUN   21-01-18.000N 086-51-53.000W
CUS   31-49-08.742N 107-34-28.139W
CUU   28-48-30.000N 105-57-30.000W
CUZ   41-29-02.319N 099-41-20.615W
CVA   41-42-30.312N 090-29-00.685W
CVE   32-53-25.122N 096-54-14.274W
CVG   39-00-57.417N 084-42-12.405W
CVI   36-22-22.490N 076-52-17.561W
CVO   44-29-58.450N 123-17-37.209W
CVV   48-14-40.900N 122-43-27.900W
CWK   30-22-42.780N 097-31-47.450W
CXR   41-31-00.888N 081-09-47.570W
CYN   39-49-02.326N 074-25-53.836W
CYS   41-12-39.429N 104-46-22.483W
CYY   26-09-12.331N 081-46-41.165W
CZI   43-59-58.973N 106-26-08.600W
CZQ   36-53-03.555N 119-48-54.475W
DAB   29-10-51.935N 081-03-21.202W
DAG   34-57-44.845N 116-34-41.399W
DAK   36-02-34.388N 094-11-51.239W
DAL   32-50-49.658N 096-51-06.409W
DAN   36-34-07.970N 079-20-11.978W
DAS   30-11-22.987N 094-38-42.074W
DAV   08-23-05.000N 082-26-16.000W
DAY   39-54-06.501N 084-13-12.494W
DB    61-20-24.893N 138-58-59.773W
DBL   39-26-21.643N 106-53-40.849W
DBN   32-33-38.597N 082-49-59.505W
DBQ   42-24-05.300N 090-42-32.700W
DBS   44-05-19.872N 112-12-33.636W
DCA   38-51-34.031N 077-02-11.166W
DCU   34-38-53.929N 086-56-22.123W
DDC   37-51-02.070N 100-00-20.278W
