ACCOW 44-42-10.890N 071-11-50.370W
ACDAV 36-54-15.470N 078-11-32.250W
ACDAW 33-52-15.080N 094-41-02.320W
ACDEP 40-32-46.340N 081-38-56.870W
ACDIV 37-42-05.370N 089-55-39.060W
ACDIY 63-49-17.190N 152-22-04.760W
ACEHO 41-48-23.260N 102-47-25.620W
ACEHY 41-06-19.170N 087-04-55.510W
ACELA 41-25-53.440N 072-46-32.270W
ACELL 33-55-28.310N 117-51-35.970W
ACEMI 42-06-36.070N 090-11-24.790W
ACENE 39-34-37.900N 094-54-25.060W
ACERT 36-00-03.510N 096-08-03.940W
ACERU 61-53-54.400N 165-11-24.020W
ACETO 38-08-35.990N 085-00-20.680W
ACETY 36-55-29.810N 121-30-39.050W
ACFIJ 43-12-47.320N 113-05-00.680W
ACGET 29-50-58.060N 098-05-22.310W
ACIDS 39-30-08.340N 077-12-01.550W
ACIDU 42-46-04.730N 088-34-46.140W
ACINS 33-56-01.960N 117-09-43.620W
ACIVU 28-54-49.400N 095-39-16.880W
ACIWA 37-05-34.120N 090-18-54.960W
ACIWY 38-08-53.690N 089-14-59.560W
ACJAD 36-03-40.440N 095-25-51.410W
ACKEG 42-25-56.380N 096-58-25.520W
ACKEX 41-31-22.860N 073-59-12.270W
ACKLE 28-55-54.930N 095-27-42.650W
ACKLY 41-06-33.860N 091-52-37.810W
ACKME 33-50-51.240N 097-40-40.270W
ACKNE 36-24-40.040N 085-00-18.320W
ACLAC 35-07-30.110N 081-12-02.600W
ACLAM 36-04-30.330N 114-31-21.310W
ACLIM 39-42-39.220N 075-00-57.540W
ACLIN 29-10-56.310N 098-29-59.530W
ACLOB 42-14-22.760N 122-17-01.790W
ACMEE 22-10-27.760N 075-03-22.970W
ACMOD 28-22-13.180N 080-46-41.230W
ACMOF 28-53-07.780N 081-53-36.260W
ACNOP 36-34-18.740N 097-05-54.590W
ACOCO 43-47-38.790N 091-13-59.540W
ACODI 36-44-29.870N 108-13-01.480W
ACOKO 36-20-07.330N 097-05-18.850W
ACOLA 29-27-35.580N 095-30-18.420W
ACOLI 31-21-41.860N 106-03-32.820W
ACOMA 34-53-15.830N 107-25-18.420W
ACONI 43-28-50.260N 123-19-50.830W
ACONY 34-32-41.740N 096-12-38.020W
ACORD 48-47-26.910N 122-31-58.650W
ACORE 38-31-11.880N 090-03-32.890W
ACORN 31-55-25.030N 095-17-46.300W
ACOTO 35-50-08.630N 076-44-44.280W
ACOTY 44-24-16.830N 123-18-28.460W
